Região Geográfica;Unidade da Federação;Município;Código do Município;Número de Matrículas da Educação Básica;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Total1-3;Sexo e Cor/Raça;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Feminino;;;;;;;Masculino;;;;;;;;;;;;;;;;
;;;;;Total;Não Declarada;Branca;Preta;Parda;Amarela;Indígena;Total;Não Declarada;Branca;Preta;Parda;Amarela;Indígena;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Campo Verde  ;5102678; 11.274 ; 5.617 ; 2.682 ; 1.158 ; 92 ; 1.674 ; 8 ; 3 ; 5.657 ; 2.596 ; 1.110 ; 114 ; 1.815 ; 13 ; 9 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Campos de Júlio  ;5102686; 2.622 ; 1.303 ; 1.190 ; 37 ; 4 ; 64 ; 2 ; 6 ; 1.319 ; 1.199 ; 32 ; 9 ; 70 ; 3 ; 6 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Canabrava do Norte  ;5102694; 1.190 ; 582 ; 317 ; 64 ; 37 ; 158 ; -   ; 6 ; 608 ; 335 ; 59 ; 36 ; 174 ; -   ; 4 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Canarana  ;5102702; 6.162 ; 3.066 ; 1.194 ; 479 ; 65 ; 896 ; 2 ; 430 ; 3.096 ; 1.165 ; 481 ; 66 ; 886 ; 6 ; 492 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Carlinda  ;5102793; 2.178 ; 1.057 ; 888 ; 63 ; -   ; 104 ; 2 ; -   ; 1.121 ; 948 ; 64 ; 2 ; 107 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Castanheira  ;5102850; 1.535 ; 779 ; 696 ; 29 ; 2 ; 45 ; 1 ; 6 ; 756 ; 676 ; 35 ; -   ; 42 ; -   ; 3 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Chapada dos Guimarães  ;5103007; 4.735 ; 2.354 ; 1.534 ; 124 ; 30 ; 659 ; 1 ; 6 ; 2.381 ; 1.562 ; 126 ; 37 ; 649 ; 3 ; 4 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Cláudia  ;5103056; 2.495 ; 1.185 ; 820 ; 215 ; 10 ; 139 ; -   ; 1 ; 1.310 ; 891 ; 214 ; 9 ; 195 ; 1 ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Cocalinho  ;5103106; 1.256 ; 621 ; 306 ; 72 ; 13 ; 228 ; 1 ; 1 ; 635 ; 286 ; 75 ; 9 ; 262 ; 2 ; 1 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Colíder  ;5103205; 6.989 ; 3.447 ; 1.270 ; 929 ; 33 ; 1.156 ; 9 ; 50 ; 3.542 ; 1.247 ; 931 ; 44 ; 1.213 ; 3 ; 104 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Colniza  ;5103254; 6.708 ; 3.350 ; 3.033 ; 102 ; 12 ; 202 ; 1 ; -   ; 3.358 ; 3.039 ; 108 ; 14 ; 196 ; 1 ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Comodoro  ;5103304; 4.608 ; 2.239 ; 1.403 ; 212 ; 10 ; 266 ; 1 ; 347 ; 2.369 ; 1.471 ; 218 ; 13 ; 274 ; -   ; 393 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Confresa  ;5103353; 9.594 ; 4.880 ; 3.456 ; 441 ; 70 ; 735 ; 16 ; 162 ; 4.714 ; 3.323 ; 409 ; 54 ; 777 ; 6 ; 145 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Conquista D'Oeste  ;5103361; 1.034 ; 514 ; 263 ; 88 ; -   ; 101 ; -   ; 62 ; 520 ; 279 ; 68 ; 7 ; 89 ; 1 ; 76 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Cotriguaçu  ;5103379; 2.513 ; 1.240 ; 1.135 ; 56 ; 3 ; 33 ; -   ; 13 ; 1.273 ; 1.179 ; 48 ; 4 ; 30 ; -   ; 12 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Cuiabá  ;5103403; 151.910 ; 76.060 ; 42.824 ; 10.057 ; 1.818 ; 21.160 ; 152 ; 49 ; 75.850 ; 42.186 ; 9.976 ; 1.941 ; 21.532 ; 170 ; 45 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Curvelândia  ;5103437; 1.103 ; 538 ; 188 ; 83 ; 4 ; 263 ; -   ; -   ; 565 ; 197 ; 85 ; 4 ; 279 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Denise  ;5103452; 1.730 ; 856 ; 799 ; 17 ; 4 ; 34 ; 2 ; -   ; 874 ; 822 ; 15 ; -   ; 34 ; 3 ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Diamantino  ;5103502; 6.276 ; 3.130 ; 2.204 ; 378 ; 19 ; 519 ; 10 ; -   ; 3.146 ; 2.253 ; 326 ; 22 ; 521 ; 23 ; 1 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Dom Aquino  ;5103601; 1.638 ; 800 ; 571 ; 80 ; 15 ; 134 ; -   ; -   ; 838 ; 581 ; 62 ; 12 ; 183 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Feliz Natal  ;5103700; 2.891 ; 1.456 ; 418 ; 369 ; 19 ; 468 ; 1 ; 181 ; 1.435 ; 374 ; 386 ; 11 ; 479 ; 1 ; 184 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Figueirópolis D'Oeste  ;5103809; 655 ; 310 ; 256 ; 32 ; -   ; 22 ; -   ; -   ; 345 ; 272 ; 36 ; -   ; 37 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Gaúcha do Norte  ;5103858; 3.197 ; 1.597 ; 671 ; 91 ; 4 ; 83 ; 1 ; 747 ; 1.600 ; 723 ; 82 ; 6 ; 98 ; 1 ; 690 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; General Carneiro  ;5103908; 1.588 ; 804 ; 322 ; 18 ; 7 ; 80 ; -   ; 377 ; 784 ; 318 ; 24 ; 4 ; 99 ; -   ; 339 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Glória D'Oeste  ;5103957; 657 ; 318 ; 274 ; 15 ; -   ; 28 ; -   ; 1 ; 339 ; 283 ; 36 ; 1 ; 19 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Guarantã do Norte  ;5104104; 8.712 ; 4.346 ; 616 ; 1.361 ; 55 ; 1.894 ; 6 ; 414 ; 4.366 ; 703 ; 1.346 ; 58 ; 1.848 ; 9 ; 402 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Guiratinga  ;5104203; 1.851 ; 905 ; 639 ; 74 ; 3 ; 189 ; -   ; -   ; 946 ; 649 ; 79 ; 2 ; 215 ; -   ; 1 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Indiavaí  ;5104500; 503 ; 270 ; 180 ; 34 ; -   ; 56 ; -   ; -   ; 233 ; 158 ; 31 ; -   ; 44 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Ipiranga do Norte  ;5104526; 2.161 ; 1.033 ; 264 ; 307 ; 17 ; 443 ; 1 ; 1 ; 1.128 ; 300 ; 300 ; 26 ; 501 ; 1 ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Itanhangá  ;5104542; 1.843 ; 873 ; 335 ; 257 ; 9 ; 272 ; -   ; -   ; 970 ; 374 ; 292 ; 13 ; 290 ; -   ; 1 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Itaúba  ;5104559; 1.369 ; 647 ; 340 ; 204 ; 21 ; 82 ; -   ; -   ; 722 ; 364 ; 235 ; 19 ; 104 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Itiquira  ;5104609; 3.124 ; 1.555 ; 1.350 ; 82 ; 4 ; 119 ; -   ; -   ; 1.569 ; 1.358 ; 86 ; 6 ; 118 ; 1 ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Jaciara  ;5104807; 6.372 ; 3.128 ; 2.026 ; 349 ; 31 ; 719 ; 2 ; 1 ; 3.244 ; 2.173 ; 361 ; 22 ; 687 ; 1 ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Jangada  ;5104906; 2.105 ; 1.000 ; 948 ; 6 ; 5 ; 41 ; -   ; -   ; 1.105 ; 1.047 ; 7 ; 2 ; 49 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Jauru  ;5105002; 1.855 ; 882 ; 389 ; 128 ; 14 ; 351 ; -   ; -   ; 973 ; 413 ; 133 ; 6 ; 421 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Juara  ;5105101; 8.358 ; 4.054 ; 2.790 ; 515 ; 23 ; 524 ; 6 ; 196 ; 4.304 ; 2.940 ; 536 ; 31 ; 572 ; 6 ; 219 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Juína  ;5105150; 10.323 ; 5.120 ; 1.955 ; 1.256 ; 116 ; 1.661 ; 10 ; 122 ; 5.203 ; 1.976 ; 1.263 ; 112 ; 1.720 ; 5 ; 127 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Juruena  ;5105176; 2.299 ; 1.139 ; 841 ; 95 ; 7 ; 189 ; -   ; 7 ; 1.160 ; 820 ; 118 ; 5 ; 214 ; -   ; 3 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Juscimeira  ;5105200; 2.599 ; 1.254 ; 917 ; 42 ; 5 ; 285 ; -   ; 5 ; 1.345 ; 1.015 ; 36 ; 6 ; 277 ; -   ; 11 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Lambari D'Oeste  ;5105234; 1.143 ; 569 ; 260 ; 78 ; 10 ; 220 ; 1 ; -   ; 574 ; 261 ; 77 ; 9 ; 227 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Lucas do Rio Verde  ;5105259; 22.166 ; 10.919 ; 3.140 ; 3.103 ; 261 ; 4.384 ; 26 ; 5 ; 11.247 ; 3.201 ; 3.076 ; 302 ; 4.640 ; 23 ; 5 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Luciara  ;5105309; 669 ; 357 ; 231 ; 14 ; 2 ; 30 ; -   ; 80 ; 312 ; 196 ; 10 ; 1 ; 39 ; -   ; 66 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Marcelândia  ;5105580; 3.225 ; 1.624 ; 550 ; 409 ; 33 ; 482 ; -   ; 150 ; 1.601 ; 608 ; 350 ; 35 ; 462 ; -   ; 146 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Matupá  ;5105606; 5.344 ; 2.659 ; 377 ; 892 ; 52 ; 1.253 ; 6 ; 79 ; 2.685 ; 371 ; 880 ; 57 ; 1.285 ; 9 ; 83 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Mirassol d'Oeste  ;5105622; 5.869 ; 2.852 ; 1.771 ; 392 ; 82 ; 598 ; 3 ; 6 ; 3.017 ; 1.863 ; 411 ; 85 ; 654 ; 1 ; 3 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Nobres  ;5105903; 4.504 ; 2.243 ; 1.434 ; 231 ; 14 ; 533 ; 2 ; 29 ; 2.261 ; 1.419 ; 242 ; 18 ; 546 ; 8 ; 28 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Nortelândia  ;5106000; 1.328 ; 672 ; 460 ; 26 ; 9 ; 174 ; 3 ; -   ; 656 ; 443 ; 15 ; 8 ; 190 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Nossa Senhora do Livramento  ;5106109; 3.652 ; 1.741 ; 1.588 ; 27 ; 16 ; 110 ; -   ; -   ; 1.911 ; 1.728 ; 21 ; 22 ; 139 ; 1 ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Nova Bandeirantes  ;5106158; 2.986 ; 1.456 ; 1.216 ; 109 ; 13 ; 115 ; 2 ; 1 ; 1.530 ; 1.322 ; 109 ; 4 ; 94 ; -   ; 1 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Nova Brasilândia  ;5106208; 941 ; 449 ; 311 ; 42 ; 4 ; 92 ; -   ; -   ; 492 ; 320 ; 49 ; 3 ; 120 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Nova Canaã do Norte  ;5106216; 2.803 ; 1.392 ; 744 ; 208 ; 5 ; 435 ; -   ; -   ; 1.411 ; 711 ; 207 ; 8 ; 483 ; 2 ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Nova Guarita  ;5108808; 1.048 ; 510 ; 258 ; 127 ; 7 ; 118 ; -   ; -   ; 538 ; 254 ; 140 ; 4 ; 139 ; 1 ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Nova Lacerda  ;5106182; 1.519 ; 757 ; 454 ; 76 ; 12 ; 172 ; 12 ; 31 ; 762 ; 486 ; 75 ; 8 ; 164 ; 9 ; 20 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Nova Marilândia  ;5108857; 924 ; 447 ; 432 ; 2 ; 1 ; 10 ; -   ; 2 ; 477 ; 462 ; 1 ; -   ; 13 ; 1 ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Nova Maringá  ;5108907; 1.552 ; 754 ; 560 ; 56 ; 1 ; 132 ; 5 ; -   ; 798 ; 602 ; 48 ; 8 ; 137 ; 3 ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Nova Monte Verde  ;5108956; 2.048 ; 1.005 ; 795 ; 81 ; 4 ; 120 ; 5 ; -   ; 1.043 ; 810 ; 77 ; 11 ; 141 ; 4 ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Nova Mutum  ;5106224; 15.580 ; 7.591 ; 1.618 ; 2.277 ; 206 ; 3.464 ; 21 ; 5 ; 7.989 ; 1.844 ; 2.355 ; 210 ; 3.544 ; 30 ; 6 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Nova Nazaré  ;5106174; 1.263 ; 680 ; 81 ; 64 ; 9 ; 150 ; -   ; 376 ; 583 ; 76 ; 70 ; 15 ; 137 ; 2 ; 283 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Nova Olímpia  ;5106232; 3.937 ; 1.897 ; 1.695 ; 48 ; 6 ; 148 ; -   ; -   ; 2.040 ; 1.851 ; 38 ; 7 ; 144 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Nova Santa Helena  ;5106190; 970 ; 487 ; 386 ; 51 ; 2 ; 48 ; -   ; -   ; 483 ; 361 ; 47 ; 4 ; 69 ; 1 ; 1 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Nova Ubiratã  ;5106240; 3.122 ; 1.488 ; 1.056 ; 117 ; 7 ; 296 ; -   ; 12 ; 1.634 ; 1.112 ; 140 ; 9 ; 359 ; -   ; 14 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Nova Xavantina  ;5106257; 4.649 ; 2.288 ; 1.336 ; 305 ; 20 ; 594 ; -   ; 33 ; 2.361 ; 1.410 ; 319 ; 14 ; 576 ; 1 ; 41 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Novo Horizonte do Norte  ;5106273; 744 ; 359 ; 247 ; 40 ; 11 ; 59 ; -   ; 2 ; 385 ; 287 ; 49 ; 5 ; 43 ; -   ; 1 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Novo Mundo  ;5106265; 1.551 ; 783 ; 518 ; 99 ; 13 ; 153 ; -   ; -   ; 768 ; 524 ; 75 ; 13 ; 156 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Novo Santo Antônio  ;5106315; 512 ; 258 ; 167 ; 23 ; 7 ; 59 ; -   ; 2 ; 254 ; 140 ; 23 ; 8 ; 76 ; 2 ; 5 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Novo São Joaquim  ;5106281; 1.778 ; 885 ; 781 ; 19 ; -   ; 41 ; -   ; 44 ; 893 ; 777 ; 18 ; 3 ; 47 ; 1 ; 47 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Paranaíta  ;5106299; 2.558 ; 1.245 ; 1.018 ; 126 ; 12 ; 89 ; -   ; -   ; 1.313 ; 1.075 ; 124 ; 17 ; 97 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Paranatinga  ;5106307; 6.135 ; 3.004 ; 1.968 ; 265 ; 13 ; 398 ; 1 ; 359 ; 3.131 ; 2.167 ; 262 ; 10 ; 402 ; 2 ; 288 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Pedra Preta  ;5106372; 4.113 ; 2.001 ; 997 ; 334 ; 56 ; 610 ; 3 ; 1 ; 2.112 ; 1.132 ; 301 ; 43 ; 634 ; 2 ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Peixoto de Azevedo  ;5106422; 8.371 ; 4.178 ; 1.188 ; 835 ; 112 ; 1.837 ; 4 ; 202 ; 4.193 ; 1.196 ; 774 ; 136 ; 1.880 ; 6 ; 201 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Planalto da Serra  ;5106455; 894 ; 448 ; 425 ; 5 ; 1 ; 15 ; -   ; 2 ; 446 ; 429 ; 4 ; -   ; 12 ; -   ; 1 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Poconé  ;5106505; 8.083 ; 4.004 ; 2.974 ; 158 ; 36 ; 814 ; 4 ; 18 ; 4.079 ; 3.128 ; 120 ; 45 ; 769 ; 3 ; 14 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Pontal do Araguaia  ;5106653; 995 ; 479 ; 327 ; 43 ; 5 ; 99 ; 2 ; 3 ; 516 ; 353 ; 41 ; 4 ; 111 ; 2 ; 5 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Ponte Branca  ;5106703; 374 ; 183 ; 102 ; 32 ; 5 ; 43 ; -   ; 1 ; 191 ; 107 ; 24 ; 2 ; 57 ; -   ; 1 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Pontes e Lacerda  ;5106752; 11.700 ; 5.810 ; 4.741 ; 419 ; 78 ; 561 ; 7 ; 4 ; 5.890 ; 4.941 ; 346 ; 69 ; 530 ; 1 ; 3 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Porto Alegre do Norte  ;5106778; 2.429 ; 1.200 ; 563 ; 160 ; 50 ; 419 ; 1 ; 7 ; 1.229 ; 526 ; 194 ; 64 ; 430 ; 1 ; 14 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Porto dos Gaúchos  ;5106802; 1.297 ; 614 ; 274 ; 173 ; 16 ; 150 ; -   ; 1 ; 683 ; 323 ; 189 ; 11 ; 160 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Porto Esperidião  ;5106828; 2.474 ; 1.229 ; 893 ; 134 ; 1 ; 164 ; 1 ; 36 ; 1.245 ; 922 ; 104 ; 4 ; 175 ; 3 ; 37 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Porto Estrela  ;5106851; 696 ; 319 ; 8 ; 22 ; 5 ; 284 ; -   ; -   ; 377 ; 8 ; 33 ; 6 ; 329 ; 1 ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Poxoréu  ;5107008; 4.381 ; 2.161 ; 1.006 ; 86 ; 30 ; 882 ; -   ; 157 ; 2.220 ; 1.083 ; 102 ; 43 ; 851 ; -   ; 141 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Primavera do Leste  ;5107040; 21.876 ; 10.845 ; 5.651 ; 2.017 ; 329 ; 2.775 ; 56 ; 17 ; 11.031 ; 5.684 ; 2.034 ; 354 ; 2.879 ; 48 ; 32 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Querência  ;5107065; 6.815 ; 3.417 ; 2.732 ; 240 ; 24 ; 244 ; 4 ; 173 ; 3.398 ; 2.742 ; 205 ; 29 ; 248 ; 2 ; 172 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Reserva do Cabaçal  ;5107156; 544 ; 273 ; 159 ; 29 ; 1 ; 83 ; 1 ; -   ; 271 ; 150 ; 34 ; 3 ; 83 ; 1 ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Ribeirão Cascalheira  ;5107180; 2.422 ; 1.216 ; 700 ; 87 ; 4 ; 228 ; -   ; 197 ; 1.206 ; 700 ; 85 ; 4 ; 233 ; -   ; 184 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Ribeirãozinho  ;5107198; 559 ; 257 ; 194 ; 11 ; -   ; 52 ; -   ; -   ; 302 ; 201 ; 12 ; -   ; 89 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Rio Branco  ;5107206; 1.037 ; 519 ; 164 ; 123 ; 13 ; 219 ; -   ; -   ; 518 ; 183 ; 102 ; 5 ; 228 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Rondolândia  ;5107578; 1.013 ; 509 ; 274 ; 17 ; 5 ; 37 ; -   ; 176 ; 504 ; 284 ; 28 ; 8 ; 33 ; 2 ; 149 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Rondonópolis  ;5107602; 61.822 ; 30.830 ; 20.036 ; 4.404 ; 525 ; 5.678 ; 55 ; 132 ; 30.992 ; 20.104 ; 4.270 ; 560 ; 5.867 ; 47 ; 144 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Rosário Oeste  ;5107701; 3.644 ; 1.762 ; 1.041 ; 130 ; 9 ; 581 ; -   ; 1 ; 1.882 ; 1.108 ; 101 ; 13 ; 657 ; 3 ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Salto do Céu  ;5107750; 849 ; 418 ; 366 ; 25 ; 1 ; 26 ; -   ; -   ; 431 ; 378 ; 26 ; 2 ; 24 ; 1 ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Santa Carmem  ;5107248; 1.397 ; 669 ; 222 ; 211 ; 9 ; 226 ; 1 ; -   ; 728 ; 219 ; 242 ; 7 ; 260 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Santa Cruz do Xingu  ;5107743; 839 ; 416 ; 339 ; 26 ; 7 ; 36 ; 1 ; 7 ; 423 ; 344 ; 29 ; 4 ; 45 ; 1 ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Santa Rita do Trivelato  ;5107768; 1.055 ; 509 ; 57 ; 219 ; 9 ; 221 ; 1 ; 2 ; 546 ; 59 ; 202 ; 7 ; 277 ; 1 ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Santa Terezinha  ;5107776; 1.778 ; 851 ; 449 ; 31 ; 9 ; 195 ; 42 ; 125 ; 927 ; 486 ; 33 ; 9 ; 242 ; 36 ; 121 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Santo Afonso  ;5107263; 679 ; 327 ; 230 ; 18 ; 8 ; 70 ; -   ; 1 ; 352 ; 243 ; 19 ; 6 ; 84 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Santo Antônio de Leverger  ;5107800; 4.643 ; 2.302 ; 1.885 ; 30 ; 18 ; 293 ; -   ; 76 ; 2.341 ; 1.890 ; 35 ; 21 ; 305 ; -   ; 90 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Santo Antônio do Leste  ;5107792; 1.115 ; 497 ; 329 ; 26 ; 2 ; 56 ; 1 ; 83 ; 618 ; 430 ; 38 ; -   ; 61 ; 1 ; 88 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; São Félix do Araguaia  ;5107859; 2.912 ; 1.462 ; 1.012 ; 48 ; 10 ; 204 ; 11 ; 177 ; 1.450 ; 979 ; 60 ; 8 ; 210 ; 12 ; 181 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; São José do Povo  ;5107297; 832 ; 414 ; 308 ; 50 ; 5 ; 51 ; -   ; -   ; 418 ; 300 ; 56 ; 3 ; 59 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; São José do Rio Claro  ;5107305; 3.903 ; 1.994 ; 859 ; 211 ; 32 ; 887 ; 4 ; 1 ; 1.909 ; 819 ; 231 ; 41 ; 814 ; 2 ; 2 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; São José do Xingu  ;5107354; 1.881 ; 916 ; 639 ; 66 ; 12 ; 88 ; 8 ; 103 ; 965 ; 695 ; 44 ; 9 ; 79 ; 8 ; 130 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; São José dos Quatro Marcos  ;5107107; 3.591 ; 1.781 ; 1.642 ; 71 ; 7 ; 60 ; -   ; 1 ; 1.810 ; 1.684 ; 60 ; 1 ; 65 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; São Pedro da Cipa  ;5107404; 947 ; 483 ; 446 ; 18 ; -   ; 19 ; -   ; -   ; 464 ; 438 ; 14 ; 1 ; 11 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Sapezal  ;5107875; 10.749 ; 5.607 ; 2.245 ; 1.074 ; 115 ; 2.096 ; 13 ; 64 ; 5.142 ; 1.892 ; 1.010 ; 152 ; 2.029 ; 9 ; 50 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Serra Nova Dourada  ;5107883; 416 ; 201 ; 170 ; 8 ; 1 ; 21 ; -   ; 1 ; 215 ; 193 ; 6 ; 1 ; 15 ; -   ; -   ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Sinop  ;5107909; 45.804 ; 22.745 ; 9.057 ; 6.083 ; 506 ; 7.045 ; 44 ; 10 ; 23.059 ; 9.307 ; 6.135 ; 507 ; 7.048 ; 50 ; 12 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Sorriso  ;5107925; 31.381 ; 15.451 ; 8.281 ; 3.478 ; 209 ; 3.459 ; 23 ; 1 ; 15.930 ; 8.579 ; 3.443 ; 222 ; 3.663 ; 19 ; 4 ;;;;;;;;;;
 Centro-Oeste  ; Mato Grosso  ; Tabaporã  ;5107941; 2.663 ; 1.330 ; 496 ; 352 ; 9 ; 471 ; 2 ; -   ; 1.333 ; 509 ; 327 ; 8 ; 488 ; 1 ; -   ;;;;;;;;;;
