Região Geográfica;Unidade da Federação;Município;Código do Município;Número de Matrículas da Educação Básica;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Total1-3;Sexo e Cor/Raça;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Feminino;;;;;;;Masculino;;;;;;;;;;;;;;;;
;;;;;Total;Não Declarada;Branca;Preta;Parda;Amarela;Indígena;Total;Não Declarada;Branca;Preta;Parda;Amarela;Indígena;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Norte  ; Acre  ; Mâncio Lima  ;1200336; 6.612 ; 3.181 ; 349 ; 281 ; 49 ; 2.254 ; 19 ; 229 ; 3.431 ; 369 ; 292 ; 80 ; 2.415 ; 23 ; 252 ;;;;;;;;;;
 Norte  ; Acre  ; Manoel Urbano  ;1200344; 3.599 ; 1.793 ; 450 ; 134 ; 13 ; 1.025 ; 2 ; 169 ; 1.806 ; 430 ; 108 ; 17 ; 1.076 ; 2 ; 173 ;;;;;;;;;;
 Norte  ; Acre  ; Marechal Thaumaturgo  ;1200351; 6.455 ; 3.086 ; 91 ; 243 ; 24 ; 2.222 ; 23 ; 483 ; 3.369 ; 125 ; 227 ; 21 ; 2.389 ; 22 ; 585 ;;;;;;;;;;
 Norte  ; Acre  ; Plácido de Castro  ;1200385; 4.598 ; 2.259 ; 831 ; 98 ; 22 ; 1.291 ; 17 ; -   ; 2.339 ; 782 ; 107 ; 20 ; 1.413 ; 17 ; -   ;;;;;;;;;;
 Norte  ; Acre  ; Porto Acre  ;1200807; 5.533 ; 2.662 ; 1.524 ; 85 ; 18 ; 1.026 ; 7 ; 2 ; 2.871 ; 1.674 ; 84 ; 20 ; 1.087 ; 4 ; 2 ;;;;;;;;;;
 Norte  ; Acre  ; Porto Walter  ;1200393; 4.905 ; 2.314 ; 157 ; 228 ; 14 ; 1.746 ; 19 ; 150 ; 2.591 ; 155 ; 262 ; 11 ; 1.958 ; 27 ; 178 ;;;;;;;;;;
 Norte  ; Acre  ; Rio Branco  ;1200401; 100.067 ; 49.289 ; 18.400 ; 6.231 ; 792 ; 23.412 ; 248 ; 206 ; 50.778 ; 18.591 ; 6.273 ; 862 ; 24.628 ; 220 ; 204 ;;;;;;;;;;
 Norte  ; Acre  ; Rodrigues Alves  ;1200427; 7.355 ; 3.493 ; 327 ; 212 ; 27 ; 2.853 ; 19 ; 55 ; 3.862 ; 364 ; 167 ; 49 ; 3.210 ; 21 ; 51 ;;;;;;;;;;
 Norte  ; Acre  ; Santa Rosa do Purus  ;1200435; 2.934 ; 1.482 ; 74 ; 69 ; 1 ; 276 ; 2 ; 1.060 ; 1.452 ; 77 ; 63 ; 1 ; 329 ; 3 ; 979 ;;;;;;;;;;
 Norte  ; Acre  ; Sena Madureira  ;1200500; 11.248 ; 5.482 ; 4.382 ; 114 ; 21 ; 870 ; 2 ; 93 ; 5.766 ; 4.628 ; 110 ; 24 ; 921 ; 2 ; 81 ;;;;;;;;;;
